10.6 -0.274603  0.96295  -0.385338  0.922775
10.7 -0.176935  0.985595  -0.291289  0.956635
10.8 -0.0774904  0.998361  -0.19433  0.980936
10.9 0.0227331  1.00112  -0.0954289  0.995436
11 0.122731  0.993839  0.0044257  0.99999
11.1 0.221501  0.976597  0.104236  0.994553
11.2 0.318054  0.949563  0.203005  0.979178
11.3 0.41142  0.91301  0.299745  0.954019
11.4 0.500664  0.867303  0.393491  0.919329
11.5 0.584891  0.8129  0.483305  0.875452
11.6 0.663256  0.750347  0.56829  0.822829
11.7 0.734975  0.680269  0.647596  0.761984
11.8 0.799327  0.603371  0.720432  0.693525
11.9 0.855667  0.520421  0.78607  0.618137
12 0.903431  0.432252  0.843854  0.536573
12.1 0.942139  0.339748  0.893206  0.449647
12.2 0.971403  0.243835  0.933634  0.358229
12.3 0.99093  0.145476  0.964733  0.263232
12.4 1.00052  0.0456555  0.986192  0.165604
12.5 1.00009  -0.0546251  0.997798  0.0663219
12.6 0.989623  -0.15436  0.999435  -0.033623
12.7 0.969238  -0.252551  0.991085  -0.133232
12.8 0.939137  -0.348212  0.972833  -0.23151
12.9 0.89962  -0.440385  0.94486  -0.327474
13 0.851084  -0.528145  0.907447  -0.420167
13.1 0.794014  -0.610612  0.860967  -0.508661
13.2 0.728982  -0.686961  0.805884  -0.592074
13.3 0.656641  -0.756424  0.742749  -0.66957
13.4 0.577716  -0.818306  0.672193  -0.740376
13.5 0.492997  -0.871986  0.594921  -0.803784
13.6 0.403333  -0.916926  0.511704  -0.859162
13.7 0.309624  -0.952675  0.423375  -0.905955
13.8 0.212808  -0.978874  0.330815  -0.943696
13.9 0.113857  -0.99526  0.23495  -0.972008
14 0.0137615  -1.00167  0.136737  -0.990607
14.1 -0.0864743  -0.998037  0.0371584  -0.999309
14.2 -0.185846  -0.9844  -0.0627917  -0.998027
14.3 -0.283356  -0.960893  -0.162114  -0.986772
14.4 -0.378029  -0.927753  -0.259817  -0.965658
14.5 -0.468914  -0.885311  -0.354924  -0.934895
14.6 -0.555101  -0.833993  -0.446485  -0.894791
14.7 -0.635724  -0.774313  -0.533584  -0.845747
14.8 -0.709977  -0.706869  -0.615352  -0.788252
14.9 -0.777114  -0.632337  -0.690972  -0.722881
15 -0.836462  -0.551464  -0.759688  -0.650288
15.1 -0.887426  -0.465061  -0.820813  -0.571197
15.2 -0.929495  -0.373993  -0.873737  -0.486399
15.3 -0.962247  -0.279173  -0.917931  -0.396741
15.4 -0.985353  -0.181553  -0.952953  -0.303118
15.5 -0.998582  -0.0821095  -0.978453  -0.206467
15.6 -1.0018  0.0181592  -0.994178  -0.107754
15.7 -0.994975  0.118248  -0.999968  -0.00796318
15.8 -0.978175  0.217155  -0.995768  0.0919069
15.9 -0.951569  0.313886  -0.981618  0.190859
16 -0.915422  0.407474  -0.957659  0.287903
16.1 -0.870098  0.496979  -0.924133  0.382071
16.2 -0.81605  0.581504  -0.881372  0.472422
16.3 -0.753819  0.660201  -0.829806  0.558052
16.4 -0.68403  0.732282  -0.769948  0.638107
16.5 -0.607381  0.797024  -0.702397  0.711785
16.6 -0.524642  0.853777  -0.627828  0.778352
16.7 -0.436641  0.901972  -0.546986  0.837142
16.8 -0.344261  0.941126  -0.460679  0.887567
16.9 -0.248427  0.970847  -0.369768  0.929124
17 -0.1501  0.990835  -0.275163  0.961397
17.1 -0.0502661  1.00089  -0.177809  0.984065
17.2 0.0500743  1.00091  -0.0786782  0.9969
17.3 0.149915  0.990901  0.0212388  0.999774
17.4 0.248256  0.970955  0.120944  0.992659
17.5 0.34411  0.941275  0.21944  0.975626
17.6 0.436517  0.902157  0.315744  0.948844
17.7 0.52455  0.853995  0.408893  0.912582
17.8 0.607327  0.79727  0.497956  0.867202
17.9 0.684017  0.732551  0.582044  0.813157
18 0.753852  0.660486  0.660317  0.750987
18.1 0.816131  0.581799  0.731991  0.681314
18.2 0.870231  0.497277  0.796352  0.604833
18.3 0.915607  0.407767  0.852757  0.522309
18.4 0.951806  0.314168  0.90064  0.434566
18.5 0.978464  0.217416  0.939525  0.342481
18.6 0.995313  0.118483  0.969022  0.246974
