56.02 14711.6915 9929.50105 575.628216 442.237652 13.5318637 13.5815957 9946.55551 725.893921
57.02 15294.1147 10378.5802 589.246421 455.970313 13.7018568 13.8790208 10397.0105 745.063938
58.02 15890.2418 10841.5421 603.036815 470.004249 13.8761797 14.184039 10861.4356 764.563532
59.02 16500.2472 11318.6917 617.003809 484.347198 14.054994 14.4969382 11340.1403 784.401625
60.02 17124.3098 11810.3422 631.151982 499.007196 14.2384746 14.8180256 11833.4421 804.587476
61.02 17762.6131 12316.8146 645.486108 513.992605 14.4268496 15.1476591 12341.6667 825.130726
62.02 18415.3456 12838.4388 660.011189 529.312152 14.6203003 15.4861696 12865.1487 846.041443
63.02 19082.7009 13375.5533 674.732384 544.974881 14.8190108 15.8339001 13404.2318 867.330047
64.02 19764.8776 13928.506 689.655065 560.990203 15.0231978 16.1912299 13959.2689 889.007377
65.02 20462.08 14497.6545 704.784859 577.367951 15.2331681 16.5586235 14530.623 911.084764
66.02 21174.5183 15083.3662 720.127647 594.118382 15.4491043 16.9364567 15118.6671 933.574036
67.02 21902.4083 15686.019 735.689521 611.252158 15.6712564 17.3251725 15723.7851 956.487465
68.02 22645.9725 16306.002 751.476843 628.780411 15.8999396 17.7252821 16346.3719 979.83787
69.02 23405.4394 16943.7152 767.496312 646.714808 16.1354438 18.1372909 16986.8339 1003.6387
70.02 24181.0448 17599.571 783.754877 665.067493 16.3780408 18.5617043 17645.59 1027.90392
71.02 24973.0313 18273.9939 800.259801 683.851165 16.628087 18.9991161 18323.0715 1052.64817
72.02 25781.649 18967.4214 817.01873 703.079146 16.88594 19.4501392 19019.723 1077.88677
73.01 26598.8165 19673.0783 833.8681 722.566171 17.1492308 19.9106595 19728.7416 1103.37567
74.01 27441.306 20405.6815 851.156578 742.720369 17.4237061 20.3906907 20464.9201 1129.64643
75.01 28301.2227 21158.6816 868.72408 763.362524 17.707156 20.8863725 21221.6835 1156.46179
76.01 29178.8502 21932.5745 886.579786 784.508661 18.000002 21.3984588 21999.5363 1183.84017
77.01 30074.4815 22727.8726 904.733363 806.175629 18.3027831 21.9278332 22798.9992 1211.80097
78.01 30988.4196 23545.1053 923.194975 828.381138 18.6159517 22.4753306 23620.6108 1240.36457
79.01 31920.9777 24384.8205 941.975291 851.143796 18.9400826 23.0419246 24464.9283 1269.55237
80.01 32872.4802 25247.5851 961.085585 874.483223 19.2757598 23.6286298 25332.5283 1299.38694
