#                NUMBER DENSITIES          MASS DENSITY  TEMPERATURE
#    H/KM     O/cm-3    N2/cm-3    O2/cm-3   m/g*cm-3     TN/K TEXO/K
   136.0   3.286E+10  7.530E+10  8.551E+09  4.844E-12   591.2   892
   138.0   3.014E+10  6.590E+10  7.332E+09  4.267E-12   607.4   892
   140.0   2.773E+10  5.796E+10  6.329E+09  3.779E-12   622.8   892
   142.0   2.560E+10  5.120E+10  5.495E+09  3.362E-12   637.4   892
   144.0   2.369E+10  4.542E+10  4.795E+09  3.004E-12   651.1   892
   146.0   2.199E+10  4.044E+10  4.204E+09  2.694E-12   664.1   892
   148.0   2.045E+10  3.612E+10  3.701E+09  2.425E-12   676.4   892
   150.0   1.907E+10  3.236E+10  3.269E+09  2.190E-12   688.0   892
   152.0   1.781E+10  2.908E+10  2.898E+09  1.983E-12   699.0   892
   154.0   1.667E+10  2.619E+10  2.576E+09  1.801E-12   709.4   892
   156.0   1.562E+10  2.365E+10  2.296E+09  1.640E-12   719.2   892
   158.0   1.467E+10  2.140E+10  2.052E+09  1.497E-12   728.5   892
   160.0   1.380E+10  1.940E+10  1.838E+09  1.369E-12   737.3   892
   162.0   1.299E+10  1.759E+10  1.649E+09  1.253E-12   745.6   892
   164.0   1.225E+10  1.601E+10  1.483E+09  1.151E-12   753.5   892
   166.0   1.156E+10  1.459E+10  1.335E+09  1.058E-12   760.9   892
   168.0   1.093E+10  1.332E+10  1.205E+09  9.752E-13   767.9   892
   170.0   1.034E+10  1.217E+10  1.088E+09  9.000E-13   774.6   892
   172.0   9.793E+09  1.114E+10  9.845E+08  8.317E-13   780.9   892
   174.0   9.282E+09  1.020E+10  8.918E+08  7.698E-13   786.8   892
   176.0   8.806E+09  9.359E+09  8.088E+08  7.133E-13   792.5   892
   178.0   8.361E+09  8.593E+09  7.343E+08  6.618E-13   797.8   892
   180.0   7.944E+09  7.897E+09  6.674E+08  6.147E-13   802.8   892
   182.0   7.553E+09  7.264E+09  6.072E+08  5.717E-13   807.6   892
   184.0   7.186E+09  6.688E+09  5.529E+08  5.322E-13   812.1   892
   186.0   6.841E+09  6.162E+09  5.039E+08  4.959E-13   816.4   892
   188.0   6.516E+09  5.681E+09  4.596E+08  4.625E-13   820.4   892
   190.0   6.211E+09  5.242E+09  4.195E+08  4.318E-13   824.2   892
   192.0   5.922E+09  4.840E+09  3.832E+08  4.035E-13   827.8   892
   194.0   5.649E+09  4.471E+09  3.503E+08  3.773E-13   831.2   892
   196.0   5.392E+09  4.133E+09  3.204E+08  3.531E-13   834.5   892
   198.0   5.148E+09  3.823E+09  2.932E+08  3.308E-13   837.5   892
   200.0   4.918E+09  3.538E+09  2.685E+08  3.100E-13   840.4   892
   202.0   4.699E+09  3.275E+09  2.461E+08  2.908E-13   843.2   892
   204.0   4.492E+09  3.034E+09  2.255E+08  2.729E-13   845.8   892
   206.0   4.295E+09  2.811E+09  2.068E+08  2.564E-13   848.2   892
   208.0   4.108E+09  2.606E+09  1.897E+08  2.409E-13   850.5   892
   210.0   3.930E+09  2.417E+09  1.741E+08  2.266E-13   852.7   892
   212.0   3.762E+09  2.243E+09  1.599E+08  2.132E-13   854.8   892
   214.0   3.601E+09  2.081E+09  1.469E+08  2.007E-13   856.8   892
   216.0   3.448E+09  1.932E+09  1.350E+08  1.891E-13   858.6   892
   218.0   3.302E+09  1.795E+09  1.241E+08  1.782E-13   860.4   892
   220.0   3.164E+09  1.667E+09  1.141E+08  1.680E-13   862.1   892
   222.0   3.031E+09  1.549E+09  1.049E+08  1.585E-13   863.7   892
   224.0   2.905E+09  1.440E+09  9.653E+07  1.497E-13   865.2   892
   226.0   2.785E+09  1.339E+09  8.884E+07  1.413E-13   866.6   892
   228.0   2.670E+09  1.245E+09  8.179E+07  1.335E-13   867.9   892
   230.0   2.560E+09  1.158E+09  7.531E+07  1.262E-13   869.2   892
   232.0   2.455E+09  1.077E+09  6.936E+07  1.194E-13   870.4   892
   234.0   2.355E+09  1.003E+09  6.390E+07  1.129E-13   871.5   892
   236.0   2.259E+09  9.332E+08  5.888E+07  1.069E-13   872.6   892
   238.0   2.168E+09  8.687E+08  5.426E+07  1.012E-13   873.6   892
   240.0   2.080E+09  8.089E+08  5.002E+07  9.584E-14   874.6   892
   242.0   1.996E+09  7.533E+08  4.612E+07  9.082E-14   875.5   892
   244.0   1.916E+09  7.017E+08  4.253E+07  8.609E-14   876.4   892
   246.0   1.840E+09  6.537E+08  3.923E+07  8.163E-14   877.2   892
   248.0   1.766E+09  6.091E+08  3.619E+07  7.744E-14   878.0   892
   250.0   1.696E+09  5.676E+08  3.339E+07  7.348E-14   878.7   892
