 42330.9 -4.67062e+06 12.4316 0.112982 -3.44146e+06 3.79717e+08 -1010.68 -9.18533 -1.92223e+07 -4.73268e+06 -3222.37 -4553.91
 43574.1 -4.67061e+06 12.4316 0.1163 -3.54252e+06 3.79716e+08 -1010.68 -9.45509 -1.95392e+07 -5.18801e+06 -3116.76 -4552.35
 44817.2 -4.6706e+06 12.4316 0.119618 -3.64359e+06 3.79715e+08 -1010.67 -9.72484 -1.98457e+07 -5.64307e+06 -3014.65 -4548.5
 46060.4 -4.67059e+06 12.4315 0.122936 -3.74466e+06 3.79714e+08 -1010.67 -9.99459 -2.01422e+07 -6.09764e+06 -2915.93 -4542.59
 47303.5 -4.67058e+06 12.4315 0.126254 -3.84573e+06 3.79713e+08 -1010.67 -10.2643 -2.0429e+07 -6.55153e+06 -2820.46 -4534.83
 48546.7 -4.67056e+06 12.4315 0.129572 -3.94679e+06 3.79712e+08 -1010.67 -10.5341 -2.07064e+07 -7.00455e+06 -2728.13 -4525.4
 49789.8 -4.67055e+06 12.4314 0.13289 -4.04786e+06 3.79711e+08 -1010.66 -10.8038 -2.09748e+07 -7.45656e+06 -2638.8 -4514.45
 51033 -4.67054e+06 12.4314 0.136208 -4.14892e+06 3.79709e+08 -1010.66 -11.0736 -2.12343e+07 -7.9074e+06 -2552.38 -4502.15
 52276.1 -4.67052e+06 12.4314 0.139526 -4.24999e+06 3.79708e+08 -1010.66 -11.3433 -2.14853e+07 -8.35695e+06 -2468.73 -4488.63
 53519.2 -4.67051e+06 12.4313 0.142844 -4.35106e+06 3.79707e+08 -1010.65 -11.6131 -2.17281e+07 -8.80509e+06 -2387.76 -4474.02
 54762.4 -4.67049e+06 12.4313 0.146162 -4.45212e+06 3.79706e+08 -1010.65 -11.8828 -2.1963e+07 -9.25172e+06 -2309.35 -4458.42
 56005.5 -4.67048e+06 12.4313 0.14948 -4.55319e+06 3.79705e+08 -1010.65 -12.1526 -2.21901e+07 -9.69674e+06 -2233.4 -4441.93
 57248.6 -4.67046e+06 12.4312 0.152798 -4.65425e+06 3.79704e+08 -1010.64 -12.4223 -2.24097e+07 -1.01401e+07 -2159.81 -4424.66
 58491.7 -4.67045e+06 12.4312 0.156116 -4.75532e+06 3.79702e+08 -1010.64 -12.6921 -2.26221e+07 -1.05817e+07 -2088.49 -4406.68
 59734.9 -4.67043e+06 12.4311 0.159434 -4.85638e+06 3.79701e+08 -1010.64 -12.9618 -2.28275e+07 -1.10214e+07 -2019.35 -4388.08
 60978 -4.67042e+06 12.4311 0.162752 -4.95744e+06 3.797e+08 -1010.63 -13.2315 -2.30261e+07 -1.14592e+07 -1952.3 -4368.91
 62221.1 -4.6704e+06 12.431 0.16607 -5.05851e+06 3.79698e+08 -1010.63 -13.5013 -2.3218e+07 -1.18952e+07 -1887.25 -4349.25
 63464.2 -4.67038e+06 12.431 0.169388 -5.15957e+06 3.79697e+08 -1010.63 -13.771 -2.34036e+07 -1.23291e+07 -1824.12 -4329.16
 64707.3 -4.67037e+06 12.431 0.172705 -5.26063e+06 3.79696e+08 -1010.62 -14.0408 -2.35829e+07 -1.2761e+07 -1762.85 -4308.67
 65950.4 -4.67035e+06 12.4309 0.176023 -5.36169e+06 3.79694e+08 -1010.62 -14.3105 -2.37562e+07 -1.31908e+07 -1703.34 -4287.85
 67193.5 -4.67033e+06 12.4309 0.179341 -5.46276e+06 3.79693e+08 -1010.62 -14.5802 -2.39236e+07 -1.36185e+07 -1645.55 -4266.73
 68436.5 -4.67031e+06 12.4308 0.182659 -5.56382e+06 3.79691e+08 -1010.61 -14.85 -2.40854e+07 -1.40441e+07 -1589.39 -4245.36
 69679.6 -4.67029e+06 12.4308 0.185977 -5.66488e+06 3.7969e+08 -1010.61 -15.1197 -2.42416e+07 -1.44676e+07 -1534.81 -4223.77
 70922.7 -4.67028e+06 12.4307 0.189295 -5.76594e+06 3.79688e+08 -1010.6 -15.3894 -2.43924e+07 -1.48889e+07 -1481.74 -4201.99
 72165.8 -4.67026e+06 12.4307 0.192612 -5.867e+06 3.79687e+08 -1010.6 -15.6592 -2.4538e+07 -1.5308e+07 -1430.13 -4180.05
