0	9
1	12
2	4
3	5
4	5
5	7
6	11
7	4
8	1
9	5
10	6
11	5
12	3
13	6
14	5
15	5
16	6
17	10
18	5
19	11
20	5
21	6
22	4
23	8
24	7
25	7
26	5
27	1
28	2
29	6
30	5
31	10
32	9
33	5
34	5
35	9
36	6
37	6
38	4
39	10
40	5
41	8
42	7
43	4
44	6
45	10
46	6
47	3
48	4
49	2
50	6
51	4
52	5
53	11
54	7
55	4
56	9
57	5
58	3
59	6
60	4
61	4
62	7
63	5
64	4
65	10
66	6
67	5
68	5
69	8
70	14
71	9
72	1
73	8
74	7
75	4
76	9
77	6
78	7
79	6
80	9
81	5
82	3
83	6
84	9
85	6
86	6
87	6
88	7
89	4
90	1
91	6
92	13
93	7
94	0
95	5
96	5
97	2
98	6
99	8
100	5
101	8
102	6
103	9
104	2
105	6
106	7
107	3
108	8
109	6
110	5
111	3
112	11
113	6
114	3
115	8
116	5
117	12
118	4
119	8
120	7
121	7
122	6
123	9
124	1
125	9
126	3
127	7
128	8
129	7
130	9
131	6
132	3
133	7
134	8
135	9
136	11
137	6
138	7
139	4
140	10
141	7
142	8
143	4
144	7
145	1
146	3
147	7
148	9
149	8
150	4
151	4
152	7
153	2
154	9
155	10
156	5
157	4
158	5
159	7
160	6
161	6
162	7
163	5
164	8
165	4
