Enter desired value of z
Enter number of terms 
        1 interation(s), series sum = -21632375.492475993931293488
        2 interation(s), series sum = -43264750.984951987862586975
        3 interation(s), series sum = -64897126.477427981793880463
        4 interation(s), series sum = -86529501.969903975725173950
        5 interation(s), series sum = -108161877.462379962205886841
        6 interation(s), series sum = -129794252.954855948686599731
        7 interation(s), series sum = -151426628.447331935167312622
        8 interation(s), series sum = -173059003.939807921648025513
        9 interation(s), series sum = -194691379.432283908128738403
       10 interation(s), series sum = -216323754.924759894609451294
       11 interation(s), series sum = -237956130.417235881090164185
       12 interation(s), series sum = -259588505.909711867570877075
       13 interation(s), series sum = -281220881.402187883853912354
       14 interation(s), series sum = -302853256.894663870334625244
       15 interation(s), series sum = -324485632.387139856815338135
       16 interation(s), series sum = -346118007.879615843296051025
       17 interation(s), series sum = -367750383.372091829776763916
       18 interation(s), series sum = -389382758.864567816257476807
       19 interation(s), series sum = -411015134.357043802738189697
       20 interation(s), series sum = -432647509.849519789218902588
       21 interation(s), series sum = -454279885.341995775699615479
       22 interation(s), series sum = -475912260.834471762180328369
       23 interation(s), series sum = -497544636.326947748661041260
       24 interation(s), series sum = -519177011.819423735141754150
       25 interation(s), series sum = -540809387.311899781227111816
       26 interation(s), series sum = -562441762.804375767707824707
