Enter desired value of z
Enter number of terms 
      139 interation(s), fractional error = 0.999560962629239991
      140 interation(s), fractional error = 0.999560962629239991
      141 interation(s), fractional error = 0.999560962629239991
      142 interation(s), fractional error = 0.999560962629239991
      143 interation(s), fractional error = 0.999560962629239991
      144 interation(s), fractional error = 0.999560962629239991
      145 interation(s), fractional error = 0.999560962629239991
      146 interation(s), fractional error = 0.999560962629239991
      147 interation(s), fractional error = 0.999560962629239991
      148 interation(s), fractional error = 0.999560962629239991
      149 interation(s), fractional error = 0.999560962629239991
      150 interation(s), fractional error = 0.999560962629239991
      151 interation(s), fractional error = 0.999560962629239991
      152 interation(s), fractional error = 0.999560962629239991
      153 interation(s), fractional error = 0.999560962629239991
      154 interation(s), fractional error = 0.999560962629239991
      155 interation(s), fractional error = 0.999560962629239991
      156 interation(s), fractional error = 0.999560962629239991
      157 interation(s), fractional error = 0.999560962629239991
      158 interation(s), fractional error = 0.999560962629239991
      159 interation(s), fractional error = 0.999560962629239991
      160 interation(s), fractional error = 0.999560962629239991
      161 interation(s), fractional error = 0.999560962629239991
      162 interation(s), fractional error = 0.999560962629239991
      163 interation(s), fractional error = 0.999560962629239991
      164 interation(s), fractional error = 0.999560962629239991
      165 interation(s), fractional error = 0.999560962629239991
      166 interation(s), fractional error = 0.999560962629239991
      167 interation(s), fractional error = 0.999560962629239991
      168 interation(s), fractional error = 0.999560962629239991
      169 interation(s), fractional error = 0.999560962629239991
      170 interation(s), fractional error = 0.999560962629239991
      171 interation(s), fractional error = 0.999560962629239991
      172 interation(s), fractional error = 0.999560962629239991
      173 interation(s), fractional error = 0.999560962629239991
      174 interation(s), fractional error = 0.999560962629239991
      175 interation(s), fractional error = 0.999560962629239991
      176 interation(s), fractional error = 0.999560962629239991
      177 interation(s), fractional error = 0.999560962629239991
      178 interation(s), fractional error = 0.999560962629239991
      179 interation(s), fractional error = 0.999560962629239991
      180 interation(s), fractional error = 0.999560962629239991
      181 interation(s), fractional error = 0.999560962629239991
      182 interation(s), fractional error = 0.999560962629239991
      183 interation(s), fractional error = 0.999560962629239991
      184 interation(s), fractional error = 0.999560962629239991
      185 interation(s), fractional error = 0.999560962629239991
      186 interation(s), fractional error = 0.999560962629239991
      187 interation(s), fractional error = 0.999560962629239991
      188 interation(s), fractional error = 0.999560962629239991
      189 interation(s), fractional error = 0.999560962629239991
      190 interation(s), fractional error = 0.999560962629239991
      191 interation(s), fractional error = 0.999560962629239991
      192 interation(s), fractional error = 0.999560962629239991
      193 interation(s), fractional error = 0.999560962629239991
      194 interation(s), fractional error = 0.999560962629239991
      195 interation(s), fractional error = 0.999560962629239991
      196 interation(s), fractional error = 0.999560962629239991
      197 interation(s), fractional error = 0.999560962629239991
      198 interation(s), fractional error = 0.999560962629239991
      199 interation(s), fractional error = 0.999560962629239991
      200 interation(s), fractional error = 0.999560962629239991
      201 interation(s), fractional error = 0.999560962629239991
      202 interation(s), fractional error = 0.999560962629239991
      203 interation(s), fractional error = 0.999560962629239991
      204 interation(s), fractional error = 0.999560962629239991
      205 interation(s), fractional error = 0.999560962629239991
      206 interation(s), fractional error = 0.999560962629239991
      207 interation(s), fractional error = 0.999560962629239991
      208 interation(s), fractional error = 0.999560962629239991
      209 interation(s), fractional error = 0.999560962629239991
      210 interation(s), fractional error = 0.999560962629239991
      211 interation(s), fractional error = 0.999560962629239991
      212 interation(s), fractional error = 0.999560962629239991
      213 interation(s), fractional error = 0.999560962629239991
      214 interation(s), fractional error = 0.999560962629239991
      215 interation(s), fractional error = 0.999560962629239991
      216 interation(s), fractional error = 0.999560962629239991
      217 interation(s), fractional error = 0.999560962629239991
      218 interation(s), fractional error = 0.999560962629239991
      219 interation(s), fractional error = 0.999560962629239991
      220 interation(s), fractional error = 0.999560962629239991
      221 interation(s), fractional error = 0.999560962629239991
      222 interation(s), fractional error = 0.999560962629239991
      223 interation(s), fractional error = 0.999560962629239991
      224 interation(s), fractional error = 0.999560962629239991
      225 interation(s), fractional error = 0.999560962629239991
      226 interation(s), fractional error = 0.999560962629239991
      227 interation(s), fractional error = 0.999560962629239991
      228 interation(s), fractional error = 0.999560962629239991
      229 interation(s), fractional error = 0.999560962629239991
      230 interation(s), fractional error = 0.999560962629239991
      231 interation(s), fractional error = 0.999560962629239991
      232 interation(s), fractional error = 0.999560962629239991
      233 interation(s), fractional error = 0.999560962629239991
      234 interation(s), fractional error = 0.999560962629239991
      235 interation(s), fractional error = 0.999560962629239991
      236 interation(s), fractional error = 0.999560962629239991
      237 interation(s), fractional error = 0.999560962629239991
      238 interation(s), fractional error =                  nan
      239 interation(s), fractional error =                  nan
      240 interation(s), fractional error =                  nan
      241 interation(s), fractional error =                  nan
      242 interation(s), fractional error =                  nan
      243 interation(s), fractional error =                  nan
      244 interation(s), fractional error =                  nan
      245 interation(s), fractional error =                  nan
      246 interation(s), fractional error =                  nan
      247 interation(s), fractional error =                  nan
      248 interation(s), fractional error =                  nan
      249 interation(s), fractional error =                  nan
      250 interation(s), fractional error =                  nan
      251 interation(s), fractional error =                  nan
      252 interation(s), fractional error =                  nan
      253 interation(s), fractional error =                  nan
      254 interation(s), fractional error =                  nan
      255 interation(s), fractional error =                  nan
      256 interation(s), fractional error =                  nan
      257 interation(s), fractional error =                  nan
      258 interation(s), fractional error =                  nan
      259 interation(s), fractional error =                  nan
      260 interation(s), fractional error =                  nan
      261 interation(s), fractional error =                  nan
      262 interation(s), fractional error =                  nan
      263 interation(s), fractional error =                  nan
      264 interation(s), fractional error =                  nan
      265 interation(s), fractional error =                  nan
      266 interation(s), fractional error =                  nan
      267 interation(s), fractional error =                  nan
      268 interation(s), fractional error =                  nan
      269 interation(s), fractional error =                  nan
      270 interation(s), fractional error =                  nan
      271 interation(s), fractional error =                  nan
      272 interation(s), fractional error =                  nan
      273 interation(s), fractional error =                  nan
      274 interation(s), fractional error =                  nan
      275 interation(s), fractional error =                  nan
      276 interation(s), fractional error =                  nan
      277 interation(s), fractional error =                  nan
      278 interation(s), fractional error =                  nan
      279 interation(s), fractional error =                  nan
      280 interation(s), fractional error =                  nan
      281 interation(s), fractional error =                  nan
      282 interation(s), fractional error =                  nan
      283 interation(s), fractional error =                  nan
      284 interation(s), fractional error =                  nan
      285 interation(s), fractional error =                  nan
      286 interation(s), fractional error =                  nan
      287 interation(s), fractional error =                  nan
      288 interation(s), fractional error =                  nan
