-10.000-10.000 -3.87630577e-29  1.50257465e-57  0.00000000e+00  100.000000
  0.500 -0.500  1.35363496e-01  1.83232761e-02  1.49088070e-01    0.250000
  0.400 -0.400  1.91461061e-01  3.66573377e-02  1.47695475e-01    0.160000
  0.300 -0.300  2.38625168e-01  5.69419709e-02  1.46638920e-01    0.090000
  0.200 -0.200  2.74332557e-01  7.52583520e-02  1.45897971e-01    0.040000
  0.100 -0.100  2.96602383e-01  8.79729734e-02  1.45458756e-01    0.010000
 -0.000  0.000  3.04170473e-01  9.25196766e-02  1.45313230e-01    0.000000
 -0.100  0.100  2.96602383e-01  8.79729734e-02  1.45458756e-01    0.010000
 -0.200  0.200  2.74332557e-01  7.52583520e-02  1.45897971e-01    0.040000
 -0.300  0.300  2.38625168e-01  5.69419709e-02  1.46638920e-01    0.090000
 -0.400  0.400  1.91461061e-01  3.66573377e-02  1.47695475e-01    0.160000
 -0.500  0.500  1.35363496e-01  1.83232761e-02  1.49088070e-01    0.250000
 -0.600  0.600  7.31818152e-02  5.35557807e-03  1.50844851e-01    0.360000
 -0.700  0.700  7.85590534e-03  6.17152488e-05  1.53003349e-01    0.490000
 -0.800  0.800 -5.78149818e-02  3.34257212e-03  1.55612912e-01    0.640000
 -0.900  0.900 -1.21377924e-01  1.47326005e-02  1.58738201e-01    0.810000
 -1.000  1.000 -1.80890359e-01  3.27213219e-02  1.62464311e-01    1.000000
 -1.100  1.100 -2.35032968e-01  5.52404963e-02  1.66904389e-01    1.210000
 -1.200  1.200 -2.83169404e-01  8.01849115e-02  1.72211289e-01    1.440000
 -1.300  1.300 -3.25358056e-01  1.05857865e-01  1.78595985e-01    1.690000
 -1.400  1.400 -3.62327358e-01  1.31281115e-01  1.86357862e-01    1.960000
 -1.500  1.500 -3.95430988e-01  1.56365666e-01  1.95937086e-01    2.250000
 -1.600  1.600 -4.26602756e-01  1.81989912e-01  2.08010882e-01    2.560000
 -1.700  1.700 -4.58333421e-01  2.10069525e-01  2.23685037e-01    2.890000
 -1.800  1.800 -4.93693877e-01  2.43733644e-01  2.44916306e-01    3.240000
 -1.900  1.900 -5.36432544e-01  2.87759875e-01  2.75587814e-01    3.610000
 -2.000  2.000 -5.91180971e-01  3.49494940e-01  3.24904049e-01    4.000000
 -2.100  2.100 -6.63813266e-01  4.40648052e-01  4.22959406e-01    4.410000
 -2.200  2.200 -7.62025458e-01  5.80682798e-01  8.11830463e-01    4.840000
 -2.300  2.300 -8.96235734e-01  8.03238491e-01  0.00000000e+00    5.290000
 -2.400  2.400 -6.79071867e-01  4.61138601e-01  0.00000000e+00    5.760000
 -2.500  2.500 -5.06133693e-01  2.56171315e-01  0.00000000e+00    6.250000
 -2.600  2.600 -3.71152655e-01  1.37754294e-01  0.00000000e+00    6.760000
 -2.700  2.700 -2.67824167e-01  7.17297845e-02  0.00000000e+00    7.290000
 -2.800  2.800 -1.90204434e-01  3.61777265e-02  0.00000000e+00    7.840000
 -2.900  2.900 -1.32960296e-01  1.76784403e-02  0.00000000e+00    8.410000
 -3.000  3.000 -9.14965086e-02  8.37161108e-03  0.00000000e+00    9.000000
 -3.100  3.100 -6.19888834e-02  3.84262167e-03  0.00000000e+00    9.610000
 -3.200  3.200 -4.13514605e-02  1.70994328e-03  0.00000000e+00   10.240000
 -3.300  3.300 -2.71626845e-02  7.37811431e-04  0.00000000e+00   10.890000
 -3.400  3.400 -1.75708555e-02  3.08734964e-04  0.00000000e+00   11.560000
 -3.500  3.500 -1.11939157e-02  1.25303749e-04  0.00000000e+00   12.250000
 -3.600  3.600 -7.02373123e-03  4.93328004e-05  0.00000000e+00   12.960000
 -3.700  3.700 -4.34086100e-03  1.88430742e-05  0.00000000e+00   13.690000
 -3.800  3.800 -2.64258694e-03  6.98326574e-06  0.00000000e+00   14.440000
