5	27	73	0	100	27	273
15	24	49	2	98	26	247
25	17	32	0	98	17	230
35	5	27	0	98	5	225
45	7	20	0	98	7	218
55	8	12	0	98	8	210
65	1	11	2	96	3	207
75	3	8	0	96	3	204
85	3	5	0	96	3	201
95	1	4	2	94	3	198
105	1	3	1	93	2	196
115	0	3	0	93	0	196
125	0	3	0	93	0	196
135	0	3	1	92	1	195
145	1	2	0	92	1	194
155	1	1	1	91	2	192
165	1	0	2	89	3	189
175	0	0	0	89	0	189
185	0	0	1	88	1	188
195	0	0	0	88	0	188
205	0	0	0	88	0	188
215	0	0	0	88	0	188
225	0	0	0	88	0	188
235	0	0	0	88	0	188
245	0	0	1	87	1	187
255	0	0	2	85	2	185
265	0	0	0	85	0	185
275	0	0	0	85	0	185
285	0	0	0	85	0	185
295	0	0	0	85	0	185
305	0	0	0	85	0	185
315	0	0	0	85	0	185
325	0	0	1	84	1	184
335	0	0	2	82	2	182
345	0	0	0	82	0	182
355	0	0	0	82	0	182
365	0	0	1	81	1	181
375	0	0	0	81	0	181
385	0	0	1	80	1	180
395	0	0	1	79	1	179
405	0	0	0	79	0	179
415	0	0	2	77	2	177
425	0	0	1	76	1	176
435	0	0	0	76	0	176
445	0	0	0	76	0	176
455	0	0	0	76	0	176
465	0	0	0	76	0	176
475	0	0	0	76	0	176
485	0	0	1	75	1	175
495	0	0	0	75	0	175
505	0	0	1	74	1	174
515	0	0	0	74	0	174
525	0	0	0	74	0	174
535	0	0	1	73	1	173
545	0	0	1	72	1	172
555	0	0	1	71	1	171
565	0	0	0	71	0	171
575	0	0	0	71	0	171
585	0	0	0	71	0	171
595	0	0	0	71	0	171
605	0	0	1	70	1	170
615	0	0	1	69	1	169
625	0	0	0	69	0	169
635	0	0	2	67	2	167
645	0	0	0	67	0	167
655	0	0	0	67	0	167
665	0	0	0	67	0	167
675	0	0	0	67	0	167
685	0	0	0	67	0	167
695	0	0	0	67	0	167
705	0	0	0	67	0	167
715	0	0	1	66	1	166
725	0	0	0	66	0	166
735	0	0	1	65	1	165
745	0	0	0	65	0	165
755	0	0	0	65	0	165
765	0	0	0	65	0	165
775	0	0	0	65	0	165
785	0	0	0	65	0	165
795	0	0	0	65	0	165
805	0	0	0	65	0	165
